Session_Name_,TRIAL_LABEL,cond,givennew,nptype,ANTIC,BIN_INDEX,AVERAGE_IA_1_SAMPLE_COUNT_%,AVERAGE_IA_2_SAMPLE_COUNT_%,AVERAGE_IA_3_SAMPLE_COUNT_%,AVERAGE_IA_4_SAMPLE_COUNT_%,AVERAGE_IA_5_SAMPLE_COUNT_%,AVERAGE_IA_6_SAMPLE_COUNT_%,AVERAGE_IA_7_SAMPLE_COUNT_%,IA7_span_checker,IA7_despanned,AVERAGE_IA_0_SAMPLE_COUNT_%,S2_SELECTEDITEM,s1target,s2target,Trial_Index_,desc_offset,desc_onset,descpt2_onset,instruction1,instruction2,loc1,loc2,loc3,loc4,loc5,loc6,obj1,obj2,obj3,obj4,obj5,obj6,s1dest,s1destwithoffset,s2_offset,s2dest,s2destwithoffset,type,list,trialid
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,0,0,0,0.75,0,0,0.17,0,OK,0,0.08,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,1,0,0,1,0,0,0,0,OK,0,0,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,2,0,0,1,0,0,0,0,OK,0,0,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,3,0,0,1,0,0,0,0,OK,0,0,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,4,0,0,0.33,0,0,0.58,0,OK,0,0.08,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,5,0,0.83,0,0,0,0,0,OK,0,0.17,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,6,0,1,0,0,0,0,0,OK,0,0,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,7,0,1,0,0,0,0,0,OK,0,0,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,8,0,0.83,0,0,0,0,0,OK,0,0.17,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
MS007L3,Trial: 3,pronoun_new,new,pronoun,0,9,0,0,0,0,0,0,1,OK,1,0,OBJ1,house1.jpg,house1.jpg,3,746,665,734,S1house_9.wav,S2pronoun_8.wav,11,10,2,7,3,6,house1.jpg,house2.jpg,closedlock.jpg,openlock.jpg,bumpercar.jpg,calculator.jpg,9,21,1769,8,20,crit,3,9
